created_at,text
2021-09-27 0:02:46,"Pembangunan infrastruktur  akan pulihkan ekonomi dari covid-19 secara lebih kuat

#PPKMPastiRedakanCovid https://t.co/hAdcEvAd1s"
2021-09-27 0:12:09,@NayDonuts @roman_paqr Insya Allah Covid sudah tinggal kenangan Bu Menkeu..seperti batuk pilek saja kok...itu bagi yg dah vaksin lho..
2021-09-27 0:17:36,Yang pertama adalah pemutusan mata rantai Covid-19. Yang kedua adalah bagaimana caranya agar masyarakat ini bangkit dari segi ekonomi setelah krisis pandemi ini.
2021-09-27 0:23:49,"Penanganan pandemi COVID-19 memang membutuhkan kerja keras. Namun, penanganan dampak pandemi COVID-19 ini juga justru membutuhkan kerja yang lebih keras dari semua pihak

https://t.co/dMmJZJa5EI"
2021-09-27 0:48:32,Pembangunan infrastruktur akan pulihkan ekonomi dari covid-19 secara lebih kuat #PPKMPastiRedakanCovid https://t.co/nnWfcUTjyc
2021-09-27 1:04:16,Program Jatim Puspa ( Jawa Timur Pemberdayaan Usaha Perempuan ) &amp; Desa Berdaya diharapkan fokus trhdap pemulihan ekonomi di msa pandemi Covid - 19
2021-09-27 1:19:19,"@SoeTjenMarching Mungkin buat masyarakat Barat (AS/Eropa) pemerintah cina tdk bagus amat tapi buat masyarakat Cina sana barangkali lebih 90% rakyatnya akan mengatakan pemerintahannya sangat bagus, contoh paling ekstrim penanganan Covid-19, AS/Eropa babak belur, ekonomi Cina tetap tumbuh."
2021-09-27 1:22:42,Grup MIND ID terus berupaya memastikan jalannya operasional tambang dan pabrik sehingga turut mendukung Pemerintah untuk menekan dampak ekonomi akibat COVID-19 di sekitar wilayah operasi.
2021-09-27 1:26:14,Ada Kabar Baik dari Jokowi &amp; Sri Mulyani Soal Covid &amp; Ekonomi https://t.co/tIekgW9sEK
2021-09-27 1:37:50,"Dirut Bandara Kertajati, Salahudin Rafi mengakui selama pandemi Covid-19 kondisi di bandara yang dipimpinnya seperti mati suri karena nihil penerbangan. Bagaimana ungkapannya? Simak dalam #BlakBlakan berikut! https://t.co/oz4NwxZiaW https://t.co/MJ6qZv6LZC"
2021-09-27 1:37:52,"Dirut Bandara Kertajati, Salahudin Rafi mengakui selama pandemi Covid-19 kondisi di bandara yang dipimpinnya seperti mati suri karena nihil penerbangan. Bagaimana ungkapannya? Simak dalam #BlakBlakan berikut! https://t.co/Scdlw58kQg https://t.co/HUtzDNutoY"
2021-09-27 1:46:42,Percepatan Penanganan Covid-19 dan Pemulihan Ekonomi https://t.co/gdSTe2WyZp
2021-09-27 2:31:20,"Hai Sobat Polri, Mari Bersama Dukung dan Sukseskan Vaksinasi Covid-19 untuk Percepatan Penanganan Covid-19 Menuju Herd Immunity

Untuk Sobat yang Belum Vaksin Silahkan Datang ke Gerai Vaksinasi Merdeka yang Berada di Wilayah Kota Tangerang

""Kesehatan Pulih, Ekonomi Bangkit"" https://t.co/pcPkNEQgFc"
2021-09-27 2:35:59,"Dengan percepatan realisasi program PKT ini diharapkan dapat mempertahankan daya beli masyarakat di tengah ketidakpastian kondisi ekonomi global akibat Pandemi COVID-19 yang terjadi sekarang.

Hal ini juga sesuai dengan arahan Presiden @jokowi https://t.co/pRVWptwT9h"
2021-09-27 2:42:07,"https://t.co/2gSZdJ7i8l
Dengan percepatan realisasi program PKT ini diharapkan dapat mempertahankan daya beli masyarakat di tengah ketidakpastian kondisi ekonomi global akibat Pandemi COVID-19 yang terjadi sekarang.

Jokowi Lawan Pandemi https://t.co/AToBtbAWd1"
2021-09-27 3:02:27,"Harapannya strategi pengendalian benar benar dikawal sehingga efektif, bukan hanya dari sisi angka penurunan kasus Covid-19, melainkan juga jalannya pertumbuhan ekonomi masyarakat. #VaksinasiPerketatProkes
Transisi Menuju Endemi https://t.co/3fLTBKZ2nV"
