created_at,text
2021-09-30 0:14:47,"Selamat pagi, #MitraPerbendaharaan,
Akibat pandemi Covid-19 ini UMKM hingga usaha ultra mikro menjadi sektor yang paling pertama dan salah satu yang paling rentan terkena dampak dari pembatasan aktivitas dalam bertransaksi ekonomi.
Pemerintah memberikan perhatian kepada sektor https://t.co/UR4plPSVQg"
2021-09-30 0:45:00,"Rasio utang pemerintah terhadap produk domestik bruto terus melonjak. Ini terjadi seiring  besarnya kebutuhan anggaran untuk penanganan pandemi Covid-19. #Ekonomi #AdadiKompas 

https://t.co/5x04Bj1mQg"
2021-09-30 0:45:35,"Dipastikan bahwa jumlah vaksin tersedia agar percepatan vaksinasi dapat dilaksanakan secara konsisten sesuai dengan target yang ditetapkan.
https://t.co/10maEwnHPD
#VaksinasiSelesaikanPandemi #AyoVaksin #IndonesiaSehatMakmur https://t.co/jxUo1ZjfE0"
2021-09-30 0:46:20,"Terus fokus pada upaya pengendalian pandemi, melindungi kesejahteraan rakyat, dan mendorong pemulihan ekonomi nasional.
https://t.co/dAVPgEpFkC
#VaksinasiSelesaikanPandemi #AyoVaksin #IndonesiaSehatMakmur https://t.co/jYxnrvEFSZ"
2021-09-30 1:03:38,"Vaksinasi juga akan berdampak baik pada pemulihan ekonomi Indonesia
https://t.co/nmmvRcDTC3
#VaksinasiSelesaikanPandemi #AyoVaksin #IndonesiaSehatMakmur https://t.co/d7YW03H3oq"
2021-09-30 1:04:04,"Vaksinasi menjadi salah satu kunci menyelesaikan pandemi Covid-19
https://t.co/r8W54RMVGv
#VaksinasiSelesaikanPandemi #AyoVaksin #IndonesiaSehatMakmur https://t.co/akZJOhjFF8"
2021-09-30 1:04:56,"Pandemi Covid-19 memberikan ketidakpastian yang sangat tinggi terhadap ekonomi. Jadi harus sangat hati-hati dan terus menjaga disiplin pada protokol kesehatan di samping akselerasi vaksinasi.
https://t.co/baGbRilFk7
#VaksinasiSelesaikanPandemi #AyoVaksin #IndonesiaSehatMakmur https://t.co/sYBKBZ58BK"
2021-09-30 1:11:15,"POLRI PEDULI, POLRES PASER TERUS SALURKAN BANTUAN SOSIAL KEPADA MASYARAKAT KABUPATEN PASER YANG TERDAMPAK COVID-19 GUNA PEMULIHAN EKONOMI NASIONAL MENUJU INDONESIA MAJU
.
.
@DivHumas_Polri
@Poldakaltim
@hms_poldakaltim https://t.co/2tSgcmHReH"
2021-09-30 1:34:08,"Pandemi Covid memberi dampak pada berbagai sektor. Sebagian besar sektor penunjang ekonomi. Termasuk pariwisata dan ekonomi kreatif merupakan yang mengalami dampak yang signifikan. #Pariwisata

https://t.co/btCYEcC6W9 https://t.co/lYlR3Trf2f"
2021-09-30 1:38:53,"@frsp_ @AZNATUS @blogdokter Pandemi, saat banyak keluarga kesulitan ekonomi, dan rokok juga bisa berkontribusi pada makin parahnya Covid-19 bahkan tetep ga bisa ngehilangin kebiasaan ngerokkk. Malah lebih beralih ke yg lebih murah. https://t.co/qMQyxOOTTJ"
