created_at,text
2021-09-26 22:39:40,"@nahdlatululama @LviaMaya @tvpbnu Suggestion PBNU 2022
1. Buat sekolah tk sd smp sma NU bea murah pas  dikantong rakyat.
2. Kantor2 NU dijadikan pusat kegiatan ekonomi rakyat pasca pandemi covid 19
3. Masjid2 NU ada fasilitas klinik kesehatan murah/gratis
4. Memberikan pelajaran agama daring kpd masyarakat"
2021-09-26 23:17:45,Program Jatim Puspa (Jawa Timur Pemberdayaan Usaha Perempuan) dan Desa Berdaya diharapkan fokus terhadap pemulihan ekonomi di masa pandemi Covid-19
2021-09-26 23:28:46,"Program Jatim Puspa bertujuan meningkatkan keberdayaan sosial ekonomi rumah tangga berbasis perempuan agar dapat memenuhi kebutuhan hidup di tengah pandemi, sekaligus membantu pemulihan ekonomi usai pandemi Covid-19"
2021-09-26 23:46:55,"@Benk299120211 Katanya di suruh prokes, pakai masker, lalu tujuan vaksin itu buat apa ya, nanya aja.
Pertanyaan ke 2, Kenapa pemerintah tdk ada niat memeriksa atau audit alat PCR, benar ga tuh alatnya, kl seandainya ga benar bilang covid itu spt flu biasa, agar ekonomi bergerak lg"
